Date,End Price ($),Price Purchased At ($),Percent Gain (%),Gain ($),Ending Balance (percent * $100000 budget)
2021-10-29,331.62,144.26,129.87661167336753,129876.61,229876.61
2021-09-30,281.92,144.26,95.42492721475116,95424.93,195424.93
2021-08-31,301.88,144.26,109.26105642589769,109261.06,209261.06
2021-07-30,284.91,144.26,97.49757382503816,97497.57,197497.57
2021-06-30,270.9,144.26,87.78594204907805,87785.94,187785.94
2021-05-28,249.68,144.26,73.07638985165674,73076.39,173076.39
2021-04-30,252.18,144.26,74.80937196728131,74809.37,174809.37
2021-03-31,235.77,144.26,63.43407736032166,63434.08,163434.08
2021-02-26,232.38,144.26,61.08415361153473,61084.15,161084.15
2021-01-29,231.96,144.26,60.79301261610982,60793.01,160793.01
2020-12-31,222.42,144.26,54.17995286288646,54179.95,154179.95
2020-11-30,214.07,144.26,48.391792596700405,48391.79,148391.79
2020-10-30,202.47,144.26,40.35075558020242,40350.76,140350.76
2020-09-30,210.33,144.26,45.79925135172607,45799.25,145799.25
2020-08-31,225.53,144.26,56.33578261472343,56335.78,156335.78
2020-07-31,205.01,144.26,42.111465409676974,42111.47,142111.47
2020-06-30,203.51,144.26,41.07167614030223,41071.68,141071.68
2020-05-29,183.25,144.26,27.02758907528075,27027.59,127027.59
2020-04-30,179.21,144.26,24.227089976431458,24227.09,124227.09
2020-03-31,157.71,144.26,9.323443782060181,9323.44,109323.44
2020-02-28,162.01,144.26,12.304173020934424,12304.17,112304.17
2020-01-31,170.23,144.26,18.002218217108,18002.22,118002.22
2019-12-31,157.7,144.26,9.31651185359767,9316.51,109316.51
2019-11-29,151.38,144.26,4.9355330652987695,4935.53,104935.53
