Date,End Price ($),Price Purchased At ($),Percent Gain (%),Gain ($),Ending Balance (percent * $100000 budget)
2021-10-29,4605.38,3050.72,50.9604290134788,50960.43,150960.43
2021-09-30,4307.54,3050.72,41.19748780615725,41197.49,141197.49
2021-08-31,4522.68,3050.72,48.24959353857452,48249.59,148249.59
2021-07-30,4395.26,3050.72,44.07287460009442,44072.87,144072.87
2021-06-30,4297.5,3050.72,40.86838516809148,40868.39,140868.39
2021-05-28,4204.11,3050.72,37.8071406094299,37807.14,137807.14
2021-04-30,4181.17,3050.72,37.05518697225575,37055.19,137055.19
2021-03-31,3972.89,3050.72,30.227946189751933,30227.95,130227.95
2021-02-26,3811.15,3050.72,24.92624691876017,24926.25,124926.25
2021-01-29,3714.24,3050.72,21.749619761892276,21749.62,121749.62
2020-12-31,3756.07,3050.72,23.120771490008927,23120.77,123120.77
2020-11-30,3621.63,3050.72,18.713942938060534,18713.94,118713.94
2020-10-30,3269.96,3050.72,7.186500236009868,7186.5,107186.5
2020-09-30,3363.0,3050.72,10.236272093145232,10236.27,110236.27
2020-08-31,3500.31,3050.72,14.73717679760844,14737.18,114737.18
2020-07-31,3271.12,3050.72,7.224524046782402,7224.52,107224.52
2020-06-30,3100.29,3050.72,1.6248623275816911,1624.86,101624.86
2020-05-29,3044.31,3050.72,-0.2101143336654906,-210.11,99789.89
2020-04-30,2912.43,3050.72,-4.533028268736559,-4533.03,95466.97
2020-03-31,2584.59,3050.72,-15.279343892589281,-15279.34,84720.66
2020-02-28,2954.22,3050.72,-3.163187706508628,-3163.19,96836.81
2020-01-31,3225.52,3050.72,5.729794933655012,5729.79,105729.79
2019-12-31,3230.78,3050.72,5.902213248020153,5902.21,105902.21
2019-11-29,3140.98,3050.72,2.9586458278701495,2958.65,102958.65
