Date,End Price ($),Price Purchased At ($),Percent Gain (%),Gain ($),Ending Balance (percent * $100000 budget)
2021-10-29,14.04,13.86,1.2987012987012967,-98701.3,1298.7
2021-09-30,17.28,13.86,24.67532467532469,-75324.68,24675.32
2021-08-31,27.54,13.86,98.7012987012987,-1298.7,98701.3
2021-07-30,28.54,13.86,105.91630591630592,5916.31,105916.31
2021-06-30,33.29,13.86,140.1875901875902,40187.59,140187.59
2021-05-28,27.99,13.86,101.94805194805194,1948.05,101948.05
2021-04-30,25.32,13.86,82.68398268398269,-17316.02,82683.98
2021-03-31,29.15,13.86,110.31746031746033,10317.46,110317.46
2021-02-26,26.86,13.86,93.79509379509379,-6204.91,93795.09
2021-01-29,35.33,13.86,154.9062049062049,54906.2,154906.2
2020-12-31,17.76,13.86,28.13852813852816,-71861.47,28138.53
2020-11-30,20.96,13.86,51.226551226551244,-48773.45,51226.55
2020-10-30,19.8,13.86,42.85714285714287,-57142.86,42857.14
2020-09-30,14.98,13.86,8.080808080808088,-91919.19,8080.81
2020-08-31,12.18,13.86,-12.12121212121212,-112121.21,-12121.21
2020-07-31,10.82,13.86,-21.93362193362193,-121933.62,-21933.62
2020-06-30,10.6,13.86,-23.52092352092352,-123520.92,-23520.92
2020-05-29,7.27,13.86,-47.54689754689755,-147546.9,-47546.9
2020-04-30,6.19,13.86,-55.33910533910533,-155339.11,-55339.11
2020-03-31,4.21,13.86,-69.62481962481962,-169624.82,-69624.82
2020-02-28,10.81,13.86,-22.005772005772,-122005.77,-22005.77
2020-01-31,14.25,13.86,2.8138528138528183,-97186.15,2813.85
2019-12-31,17.3,13.86,24.81962481962483,-75180.38,24819.62
2019-11-29,14.58,13.86,5.194805194805199,-94805.19,5194.81
